Variable,18- 29,30- 39,40- 49,50- 59,60- 69,70+
N (min – max),(50 - 102),(84 - 137),(458 - 518),(858 - 926),(875 - 929),(1033 - 1116)
Left ventricle,,,,,,
LVEDV (ml),107-191,101-185,94-179,88-173,82-166,76-160
LVEDVi (ml/m2),60-102,57-99,54-96,51-93,48-90,46-87
LVESV (ml),36-82,33-78,30-75,27-72,24-69,20-66
LVESVi (ml/m2),20-44,19-42,17-41,15-39,14-38,12-36
LVSV (ml),62-119,58-116,55-113,52-110,49-107,46-103
LVSVi (ml/m2),34-64,33-62,32-61,30-59,29-58,27-57
LVCO (l/min),4-8,4-8,3-8,3-7,3-7,3-7
LVEF (%),49-72,49-72,50-73,51-74,51-74,52-75
LVM diast (g),55-102,54-101,53-99,51-98,50-97,49-96
LVMi diast (g/m2),32-52,32-52,32-51,31-51,31-51,31-50
LVM syst (g),49-102,48-101,47-100,46-99,45-98,44-97
LVMi syst (g/m2),29-53,28-53,28-53,28-52,28-52,27-52
Right ventricle,,,,,,
RVEDV (ml),105-197,99-191,93-185,87-179,81-173,75-167
RVEDVi (ml/m2),60-104,57-102,54-99,51-96,48-93,46-91
RVESV (ml),37-86,33-82,30-79,26-75,23-72,19-68
RVESVi (ml/m2),21-46,19-44,17-43,15-41,14-39,12-37
RVSV (ml),59-121,56-119,54-116,51-114,49-111,46-109
RVSVi (ml/m2),33-65,32-64,31-63,30-62,29-61,28-60
RVCO (l/min),4-8,3-8,3-8,3-8,3-7,3-7
RVEF (%),47-71,48-72,49-73,50-74,51-75,52-76
Left atrium,,,,,,
LAESV (ml),33-103,31-101,28-99,26-97,24-94,22-92
LAESVi (ml/m2),18-55,17-54,16-53,15-52,15-51,14-51
LA max (ml),37-108,35-105,32-103,30-101,28-98,25-96
LA max i (ml/m2),20-57,19-56,18-55,18-54,17-53,16-52
LAEF (%),50-86,50-85,49-85,48-84,48-83,47-82
Right atrium,,,,,,
RAESV (ml),28-100,29-100,29-101,30-101,30-102,31-102
RAESVi (ml/m2),15-55,15-55,16-56,16-56,17-57,17-57
RA max (ml),31-103,31-103,32-104,32-104,33-105,33-105
RA max i (ml/m2),16-56,16-57,17-57,17-58,18-59,19-59
RAEF (%),35-72,35-73,35-73,36-73,36-73,36-73
